time,interval,name,stressLevel,submission
1488489918,first_of_day,Jamie,1,I am working on smiley buttons on my page.
1488490064,00:02:26,Jamie,2,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490067,00:00:03,Jamie,1,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490069,00:00:02,Jamie,3,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490071,00:00:02,Jamie,3,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490073,00:00:02,Jamie,2,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490075,00:00:02,Jamie,1,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490077,00:00:02,Jamie,3,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490080,00:00:03,Jamie,2,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488490106,00:00:26,Jamie,2,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).
1488724253,first_of_day,Jamie,1,hello
1488724253,00:00:12,Jamie,3,hello again how are you askfjasdklf kjashdfjk sadjfkh asdf jkhsjkfh sdjkfh jsdkf jksadf asf haskjfl sladf s sdfas
1488724253,02:17:22,Jamie,2,dsklfhakjsdf sadfjkasdf sdfjasdf
1488727853,00:00:06,Jamie,3,This is no good....
1488727853,00:00:04,Jamie,1,Or is it ?
1488727853,first_of_day,Jamie,2,sdkljalsdf eflkjsadf a 
1488731453,first_of_day,Other Jamie,2,Hey buddy.
1488731453,first_of_day,Another Jamie,1,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488731453,00:00:04,Another Jamie,3,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488734912,00:00:03,Another Jamie,2,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488734920,00:26:26,Jamie,1,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488734923,00:00:03,Jamie,2,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488734942,00:00:52,Other Jamie,1,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488734969,first_of_day,This Person,3,sdlkfjs;adfb jdhfsafd sdjfhskjdf
1488806965,first_of_day,Jamie,1,Today's first test.
1488807004,first_of_day,Jerry,3,Today's second test.
1488811978,01:23:33,Jamie,1,dfa lkdafjalksdf slakdjflkasdjf aslkdfjlasdkjf kdjshflkajdsf sdlkfjalskdjf klsadfjlka slkasjdflkas lksdjflkasdjf lkjfdlkasjdf lkjadsflkjasfd lkj lsdfasdklfj lkakljdflk ajlkasdjf lkasjdf lkasjdflkj asflkjasdlkfj lkasjdflk asdflkj sadlkfj lksdjf lksdjf lksdafj lksdajflkj a
1488812239,00:04:21,Jamie,1,I am here for the morning.
1488823536,03:08:17,Jamie,1,Testing this out!
